mean_value,std_dev,skewness,kurt,mean_value_2,std_dev_2,skewness_2,kurt_2,hp,target,defect_type
3.1724573627049705e-06,1.2912665683121701e-05,8.260355686026898,87.92167668428024,-0.00013698813277493536,926.5523650507637,-2.560327569810464,73.20090034507045,0,ball,0.007
2.9561114044403744e-06,1.1468071552547835e-05,7.542295382482314,72.92074978729539,-3.7827215414635086e-05,804.7778713757207,-3.440104163849918,59.03415504071377,0,ball,0.007
3.3456040881348894e-06,1.3594540563069644e-05,7.853123581079535,78.29183062500265,-0.0006435358027099954,993.170543667221,-2.914235671472771,54.508652407894004,0,ball,0.007
3.1819453118063547e-06,1.3320604902889439e-05,8.254964048243469,86.88787280081797,-0.00020048632551362437,999.9322914866445,-3.111567210419775,66.42789960738156,0,ball,0.007
3.236404735380284e-06,1.4004895930108844e-05,9.017811099229446,109.93911330200467,-0.0001019166921683136,1041.1576290267803,-3.7253680663745823,86.6974550563021,0,ball,0.007
3.0146572479306933e-06,1.3345952229964959e-05,9.950762771520912,143.8126495950579,-1.0255686489174218e-05,1021.0650371353676,-4.482450572084483,112.5389582430213,0,ball,0.007
3.163858927640711e-06,1.5025634782793887e-05,10.554634627424504,148.01372334638918,-6.112663448964299e-05,1147.970147162862,-4.612926981753556,101.25227921089915,0,ball,0.007
3.297558231761426e-06,1.53139514829079e-05,10.806066462205628,168.34070793159506,-6.437953749930376e-05,1110.2595635253303,-5.5206544656093195,142.47832329375126,0,ball,0.007
3.4213899313214735e-06,1.5952782172150077e-05,9.978205208964434,133.10108690059616,-4.866051749225181e-05,1186.6079300608174,-4.672025343839165,97.78686993037512,0,ball,0.007
3.23833154423611e-06,1.3964127012354387e-05,9.043307582042383,113.39420666935102,-0.0007335676478906169,988.1204654952103,-4.249366483523072,86.43614436879443,0,ball,0.007
3.915301045139579e-06,1.2617124421283543e-05,5.210453185748137,31.58556680376322,0.0006215401773814546,548.2542026315303,-1.643324516462482,31.08466838581616,0,ball,0.007
3.2413280177367595e-06,1.6773493901481284e-05,15.708719749102709,387.2181733339452,-0.00010606978178094019,1275.4308148750247,-8.427115256888284,321.322004438248,1,ball,0.007
3.279038965282843e-06,1.7596808792002988e-05,12.622449238524748,200.12093920769604,-0.00015675971559499843,1339.0398553013354,-5.69523287277324,127.15580846626588,1,ball,0.007
3.013889066150163e-06,1.428800256342328e-05,12.055090080932654,207.3281764538639,-1.7815412784582643e-05,1073.9487288126968,-6.20351214640506,161.88290348701196,1,ball,0.007
3.2135702133979753e-06,1.564753204762542e-05,11.981636590608801,197.62199900249504,-4.595656285553263e-05,1205.1249155259463,-5.570260817372292,144.78181552565835,1,ball,0.007
3.258830279477083e-06,1.624236741163735e-05,11.638378700772916,191.64507530883546,2.964619217442076e-05,1269.6935342957286,-5.28463561928826,137.6821864752697,1,ball,0.007
